URL,Label
www.atpa.cl/foros/install/wp-content/cimb/index/,bad
cetis43.mx/Modpro/alibaba/index.php?email=abuse@rsbdubai.gov.ae,bad
service.confirm.paypal.cmd.cgi-bin.2466sd4f3e654sqd4e6d23sd8ed52s3d24e8d4sd8e74ds4d3d.dsqd56d5e8d25s.fdsf456e6d5sde8d56s4d.d545d4e84d5d.d89d989s8d9ed.548d57s56565d4s5d45sd48s5d5s5ds45d4s5.riadaziman.eu/3daf9505fecf5d5b676bf961fa6faf90/Web?885db116fdbfb21918z87HgO97YHhxa5120312838zXAZE7162361c9dbf4a088dc0aa1f621273795a91967c9dbf4a088dc0aa1f621273795a91967,bad
0zz0.com/2012/05/05/18/394995639.gif,bad
centralcoastplasterer.com.au/logs/dropbox/auth/view/share/,bad
teacherstock.co.uk/RBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4haol/cmThkRqcUe5qBbIUMLTMUxjVXHuoiRBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4h/Verify/securedpage/index.htm,bad
profile.yahoo.com.dark-tunel.com/,bad
modiketse.co.za/church/images/usproperties/index.htm,bad
www.fastservers.net/partnerships/hosting-affiliate/banners/paypal/errer.htm?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,bad
ecomak.cl/wp-index/secu/filewords,bad
moversrhere.com/Doc2015/LoginVerification.php,bad
www.tkkf.koszalin.pl/media/Orange.Fr/,bad
www.paypal.com.webscrlcmdl.login.submit.dispatch.5885d8f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.5885d80a13c0db1f8e263663d3f.aee811d01j111yh0111isl153364wxekhteamindexfo100011s.reducetechnicaldebt.com/your-account/updating/uptodate/login.htm,bad
www.babinet.cz/avatars/19889/hires/dir/9a152fc92ffbf4f47529210394339dbd/,bad
harriesgb.com/Homes/newproperties/securepage/index.html,bad
home.comcast.net/~2301patricia/,bad
www.cursoonlive.com.br/~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,bad
25.giftcard1a.com/re?l=D4I10dzyg2Ia4lo6ztI1ITirpbn8ss,bad
campeaoprovincias.com/pt/www.voegol.com.br/,bad
howdoeslifework.com/iha/897226abceb9bffd60b47185ce86a8aa/login.php?run=_login,bad
auricminerals.com/remax/,bad
www.diaedukace.cz/mody/components/com_newsfeeds/controller.php,bad
paypal.com.secure.signon.php.section.signinpage.update.cookiecheck.yes.destination.nba.signin.personal.cards.account.wouldrathergather.com/secure-code2740/sec/,bad
da.facevena.xyz/app/facebook.com/?lang=pl&key=t8j1nlLDWR6Xp63qOebJptO2KZ68fyrYIYeb98q1h2RPdMUGo8kVPH8irxLCumxfQPRi8rrjAEhNkndKagRf4s9lEAVoV6e6S1Ffp0LWQ6vBMBSQF3T7b49EAzoF2pMndKQIQ5tWmph4zuZ58TdfpbMrIynqCn4TIvsicy1wSSyJjntga66s7u1jRYTtCyZCwWgwpwpF,bad
bluesprucerealtyinc.com/css/,bad
gourmandgarden.com/verification/,bad
excipiovphotography.com/wp-includes/js/cropsinc/.sinc/att3.1/,bad
www.remorquesfranc.net/3280588d227feb0aaf3860ac30375d63/error_login.htm,bad
streeoverlordpill.com/wp-includes/___components/com/mailto/views/mailto/_in/dir/cpsess9121684484/signon/log/index.php?l=sJidXdidIYnMxmwofLodmAkNOueMHosYks-User&amp;userid;=,bad
www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=zkbecpmus.battle.net/d3/en/index&amp;app=com-d3,bad
ciply.be/alibaba/index.php?tracelog=edmfooter&amp;biz_type=Notifications_MC&amp;crm_mtn_tracelog_task_id=fc960c38-1eab-40e4-b8a9-d34ce7d2c093&amp;crm_mtn_tracelog_log_id=13712324325,bad
www.ansonkr.com/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5a6748d9df8ed7a1f190c23c85359a763a6748d9df8ed7a1f190c23c85359a763,bad
netvatise.info/client_hosting/jscritp/capitalone/87f1ace61c041afe5a02edac6ef2fc14/confirm.html,bad
1000avenue.com/Continuous/casts/,bad
djvokas.pw/index.xhtml,bad
augustlennix.com/wp-content/themes/twentyten/us/paypal_usa/PP_MultiLanguage/webscr/?cmd=_login-submit&amp;dispatch=5885d80a13c0db1f8e263663d3faee8dc18bca4c6f47e633b393e284a5f8a8f8,bad
www.lisacarni.it/images/stories/cielo.php,bad
www.tncbio.com/system/application/views/admin/tinymce/jscripts/tiny_mce/plugins/filemanager/files/templates/directory/images/cgi-bin/74ff5958da7212c3cdf5c002edc2153a,bad
scoutspirsas.org/egen/adobe/,bad
nicheken.com/shaw/pdfview/index.html,bad
vitier.net/wp-content/themes/twentyfourteen/dp1/none.php?valid,bad
kfv-slk.de/wbb3/index.php,bad
us.diablo.com.zh-jrs.in/login.html?app=wam&amp;ref=www.battle.net/account/&amp;eor=0&amp;app=bam,bad
www.balta-d3.tk/cert/,bad
docfilefromme.pctoptancisi.com/newgdoc,bad
172.245.11.68/wp-content/upload,bad
https-paypal.com-security4752452425457457878d454d254.dramamentalstudio.org/paypal-login415215961451541251212454/f9d84021d1234af62800ea5067ef640b/,bad
'www.da.tzc.edu.cn/Images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',bad
aandgtrading.com/category_images/sim/bookmark/index.php?rand=13inboxlightaspxn.1774256418,bad
baphaguide.com/css/,bad
www.paypal.co.uk.7155.secure-191.mx/images/cgi.bin/uk/web.scr/?cmnd=_lg&nav=6dc1d10c74146c59b044f962e3202e45,bad
yelona.com/skin/frontend/ced/default/images/ced/csorder/redirect.php,bad
paypal.com.cgibin.webscr.cmd.login-submit.458451212442664.paypal.cmd.home.dispatch5885d80a13c0db1f8eeec9d3fe00a95b08a1e41134c7a334a5c6.gismac.cl/Login/,bad
www.ntsushi.com/Img/?http,bad
kitchen-doors.com/pos/postal/979dac508cbcd3cbe86ed61ed772a1b544e4289f/manage.compte/,bad
www.d3-batt.tk/cert/,bad
laxerboyd.my3gb.com/,bad
haahmad.com/modules/remax/index.htm,bad
www.bjcurio.com/js/index.htm?us.battle.net/login/en/?ref=yjvsvrhus.battle.net/d3/en/index,bad
rybkj.cn/jpg/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,bad
www.cafedeslijterij.nl/wp-content/themes/caffeinated/lang/ib.nab.com.au/,bad
barerestaurantecolonial.com.br/~mpolvora/accounts.department.online.team/webscr.php,bad
www.118bm.com/images/?us.battle.net/login/en/?ref=qsvkaqjus.battle.net/d3/en/index&amp;app=com-d3,bad
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpOUYX5cIY4OWQlqoCiMuOpT0u2e1OZgUdBc4Ap4hQA41_8ggloBIqNsfEphFIAa9ffWDHyOc75JZ9g0SWxw9CWXDcgI8ERTOa57U3HOe-hvMQ8LQMJZEk3-Ta6cL9SOUwKAJZtDblhsfx-3smAOuPWcN27WIDsh7_NFuJHunXGuFBbCp3n8BD8Oo0bmOwJPkRShjSeSYpEZ1IlMb4V37tVtNSpsA\%3D\%3D&amp;attredirects=0',bad
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cp9JbhvxMS5wPdK66tdbOG1gRQdSQWa2vXHIgm2VkEl4FiiuM3iSC75s62PKASCaO3UqPOLY_wVZJJZaYNuIdCfvPG52hHZn9BDHq8TwPeSOaUh7RohxL6bFYJobWBGkYKsj8hE32JVvMxTXo5iJx9v9tthxFBu_niQgZrCPLMZYup1HExyZSO1uj8AeUg-2hL9TH73EDsa8QukEZaVP7ZChk7sDA\%3D\%3D&amp;attredirects=0',bad
20298paypal62409.teas111.com/pkSWuVBeT3.php?5xI58RSSA8i6Rs02eV4NNkFTFCgFyuCEL9NuZ8O5r06HZkNwodxO3zMFASSb6L1sDKbDMSTJlJDhU2Z5GkFNjYAFbPDjgmi1of6G,bad
secure.runescape.com.eeok.asia/m=weblogin/index.htm,bad
milleniun.tuars.com/www.bodinternet.com/index.html,bad
odiagurujan.com/LinkedIn/LinkedIn/home/5e6415b44f79908c192ce246acc822d1,bad
amisgourmet.com.br/Budget/mgs/es/index.php,bad
www.dzjhg.info/page/vote.php?pid=92,bad
www.paypal.com.us.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.5885d80a13c0db1f8e263663d3f.aee811d01j111yh0111isl153364wxekhteamindexfo100011s.digicozum.com/limit/Limit-id=e6s3346Ukh45g6C17Y30c48j7UHEeBnR2i33UN6M0LGMdBjo43G/a522fd1df59db8a5f5ae885ca18f6b96/,bad
